City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,letterkenny,54.95,-7.7333,15.45,72,63,5.36,IE,1724859582
1,pitimbu,-7.4706,-34.8086,26.57,68,43,8.05,BR,1724859583
2,turpan,42.9333,89.1667,36.0,22,4,0.98,CN,1724859585
3,bethel,41.3712,-73.414,30.03,72,0,2.06,US,1724859044
4,yellowknife,62.456,-114.3525,14.67,89,75,4.63,CA,1724859312
5,doka,13.5167,35.7667,23.31,87,99,1.86,SD,1724859588
6,vila franca do campo,37.7167,-25.4333,27.23,52,40,2.12,PT,1724859580
7,grytviken,-54.2811,-36.5092,4.06,87,100,2.42,GS,1724859074
8,angra do heroismo,38.65,-27.2167,26.34,78,20,2.68,PT,1724859591
9,forster,-32.1667,152.5167,19.09,50,99,7.2,AU,1724859592
10,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,82,0,4.0,RU,1724859237
11,isafjordur,66.0755,-23.124,7.02,87,20,5.66,IS,1724859269
12,vrangel',42.7297,133.0839,19.08,80,98,1.6,RU,1724859596
13,college,64.8569,-147.8028,9.39,91,75,0.0,US,1724859173
14,port-aux-francais,-49.35,70.2167,4.78,93,100,4.87,TF,1724859227
15,chonchi,-42.6128,-73.8092,10.8,65,4,2.42,CL,1724859096
16,olonkinbyen,70.9221,-8.7187,4.9,87,52,4.06,SJ,1724859375
17,meizhou,24.2977,116.1072,25.85,94,100,0.67,CN,1724859601
18,invercargill,-46.4,168.35,10.57,93,36,3.58,NZ,1724859319
19,adamstown,-25.066,-130.1015,18.62,66,100,1.71,PN,1724859063
20,xining,36.6167,101.7667,19.0,79,100,1.31,CN,1724859605
21,edinburgh of the seven seas,-37.0676,-12.3116,14.0,86,100,17.9,SH,1724859232
22,keflavik,64.0049,-22.5624,11.24,71,0,9.26,IS,1724859223
23,olinda,-8.0089,-34.8553,27.85,69,40,6.69,BR,1724859328
24,puerto baquerizo moreno,-0.9,-89.6,18.55,100,100,4.12,EC,1724859609
25,gaspe,48.8334,-64.4819,18.12,63,75,4.63,CA,1724859610
26,blackmans bay,-43.0167,147.3167,8.07,82,89,2.68,AU,1724859297
27,murghob,38.1702,73.9667,12.4,20,12,3.91,TJ,1724859612
28,waitangi,-43.9535,-176.5597,11.57,97,25,1.79,NZ,1724859210
29,remire-montjoly,4.9167,-52.2667,32.02,62,40,2.57,GF,1724859614
30,anadyr,64.75,177.4833,10.0,71,20,2.0,RU,1724859412
31,udachny,66.4167,112.4,7.51,72,99,1.07,RU,1724859237
32,fort bragg,35.139,-79.006,32.12,60,0,5.14,US,1724859585
33,avarua,-21.2078,-159.775,24.03,83,75,6.69,CK,1724859284
34,guanica,17.9716,-66.908,33.91,64,0,7.66,PR,1724859332
35,tazovsky,67.4667,78.7,11.82,81,40,2.42,RU,1724859573
36,ushuaia,-54.8,-68.3,3.81,81,40,10.8,AR,1724859246
37,san antonio de pale,-1.4014,5.6325,23.78,76,94,4.93,GQ,1724859450
38,ribeira grande,38.5167,-28.7,27.22,57,20,4.63,PT,1724859429
39,bredasdorp,-34.5322,20.0403,8.02,52,96,5.72,ZA,1724859254
40,afaahiti,-17.75,-149.2833,23.98,78,41,4.22,PF,1724859482
41,susuman,62.7833,148.1667,3.05,76,99,1.48,RU,1724859564
42,kruisfontein,-34.0033,24.7314,8.9,53,44,10.55,ZA,1724859630
43,margaret river,-33.95,115.0667,16.77,88,100,12.17,AU,1724859222
44,bamboo flat,11.7,92.7167,26.05,89,100,2.57,IN,1724859591
45,asau,46.4333,26.4,22.2,55,98,2.89,RO,1724859633
46,mouila,-1.8685,11.0559,32.07,45,71,4.01,GA,1724859634
47,le port,-20.9373,55.2919,20.98,89,71,2.84,RE,1724859635
48,bilibino,68.0546,166.4372,-0.18,89,100,2.65,RU,1724859261
49,boma,11.7117,4.2472,29.61,69,88,3.78,NG,1724859638
50,pospelikha,51.95,81.7667,15.99,54,78,2.12,RU,1724859639
51,whitehorse,60.7161,-135.0538,10.43,72,75,6.71,CA,1724859392
52,uturoa,-16.7333,-151.4333,26.55,73,87,4.56,PF,1724859519
53,merizo village,13.2658,144.6691,29.31,87,100,7.09,GU,1724859642
54,luanda,-8.8368,13.2343,24.0,69,0,4.63,AO,1724859457
55,trairi,-3.2778,-39.2689,29.65,54,86,8.13,BR,1724859509
56,jamestown,42.097,-79.2353,28.34,70,40,5.66,US,1724859273
57,port elizabeth,-33.918,25.5701,11.16,65,20,12.35,ZA,1724859326
58,karaton,-6.3424,106.1045,23.06,83,99,0.24,ID,1724859648
59,albany,42.6001,-73.9662,27.23,79,91,0.89,US,1724859207
60,island harbour,50.724,-1.2758,24.3,67,93,2.24,GB,1724859651
61,saint-pierre,-21.3393,55.4781,20.82,68,20,4.12,RE,1724859652
62,kavieng,-2.5744,150.7967,27.85,81,97,5.51,PG,1724859474
63,horta,38.5333,-28.6333,26.8,70,20,4.63,PT,1724859654
64,hawaiian paradise park,19.5933,-154.9731,22.72,99,100,2.57,US,1724859371
65,tiksi,71.6872,128.8694,1.39,90,60,3.36,RU,1724859216
66,dubbo,-32.25,148.6167,9.07,81,2,2.06,AU,1724859658
67,whitstable,51.3607,1.0257,27.86,49,88,0.89,GB,1724859659
